"","name","number","abbrev","peak.date","theo.ra","theo.dec","mean.ra","mean.dec","sdom","n.events","n.radiants","n.bad.events","n.bad.radiants","fishkent.p.value","vmf.mu.x","vmf.mu.y","vmf.mu.z","vmf.kappa","kent.mu.x","kent.mu.y","kent.mu.z","kent.kappa"
"...100","π-Puppids","137","PPU","20130423","110","-45",309.908716192863,31.5138672616739,16.8062427848708,4,10,-1,-1,0.0466989883544239,0.546944072653235,-0.653935589276235,0.522704913376023,2.32452378453039,0.546944072653235,-0.653935589276235,0.522704913376023,3.24608700933541
"...101","η-Aquariids","031","ETA","20130506","338","-1",337.731425362988,2.00618723155833,7.15652170307077,14,105,-1,-1,0.0455503488391592,0.924850469343465,-0.378716371471692,0.0350074182779752,4.27316852090274,0.924850469343464,-0.378716371471692,0.0350074182779753,4.43490173950226
"...102","η-Lyrids","145","ELY","20130508","287","44",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...103","June Bootids","170","JBO","20130627","224","48",266.356526502146,10.8917469456882,18.1475999723825,4,10,-1,-1,0.0796518193855276,-0.0624030066916825,-0.980001148906153,0.188953996778206,1.99359467700552,-0.0624030066916826,-0.980001148906153,0.188953996778207,2.46911182784202
"...104","Piscis Austrinids","183","PAU","20130728","341","-30",11.6719406473225,70.3479040860657,11.8485932732402,11,66,-1,-1,0.271778239243086,0.329353816833717,0.0680377024965232,0.941752055679231,1.94863471550217,0.329353816833717,0.0680377024965233,0.941752055679231,1.96263049100372
"...105","S. δ-Aquariids","005","SDA","20130730","340","-16",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...106","α-Capricornids","001","CAP","20130730","307","-10",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...107","Perseids","007","PER","20130812","48","58",51.7053301580612,55.6085085803153,1.52178116724709,109,5995,-1,-1,4.97092686753654e-30,0.350037516984239,0.443309155104298,0.825197388328527,12.8868914177349,0.350037516984239,0.443309155104298,0.825197388328527,13.1688844785492
"...108","κ-Cygnids","012","KCG","20130817","286","59",39.7853324795242,38.329328159896,11.6185440888911,15,120,-1,-1,0.00167736699118448,0.602815466003652,0.501985525087709,0.62018065638104,1.51992396077975,0.602815466003652,0.501985525087709,0.62018065638104,1.57182122279202
"...109","Aurigids","206","AUR","20130901","91","39",60.8750113351223,68.0321935270745,13.6801120215328,3,6,-1,-1,0.292241050552802,0.182073585810217,0.326786198617685,0.927394193287413,4.3853672214091,0.182073585810217,0.326786198617685,0.927394193287413,5.92033766118129
"...110","Sept. ε-Perseids","208","SPE","20130909","48","40",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...111","Draconids","009","DRA","20131008","262","54",64.2121341256994,43.4837331713653,13.6047417982921,10,55,-1,-1,0.0265420480385101,0.315652178278022,0.65331094959918,0.688148607120699,1.61239696513842,0.315652178278021,0.65331094959918,0.688148607120699,1.68103308456775
"...112","S. Taurids","002","STA","20131010","32","9",34.5635100866357,17.0936333922783,15.1548509724863,8,36,-1,-1,0.727718052607614,0.78712038823138,0.542258452295469,0.29393411735388,1.5881788762101,0.78712038823138,0.542258452295469,0.29393411735388,1.5893703128031
"...113","δ-Aurigids","224","DAU","20131011","84","44",72.9261646082584,-65.9356810469072,23.8579678618614,2,3,-1,-1,0.182324403112995,0.119720456497548,0.389790699354194,-0.913088288717464,1.92245911158318,0.119720456497548,0.389790699354194,-0.913088288717464,3.80767276024395
"...114","ε-Geminids","023","EGE","20131018","102","27",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...115","Orionids","008","ORI","20131021","95","16",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...116","Leonis Minorids","022","LMI","20131024","162","37",112.173609698422,17.4926918677867,17.5327500274036,4,10,-1,-1,0.184160995507542,-0.35996088154379,0.883219866627416,0.300584149536974,2.13587178468821,-0.35996088154379,0.883219866627416,0.300584149536974,2.43964525244185
"...117","N. Taurids","017","NTA","20131112","58","22",87.6324386379505,27.130722200797,11.463656980819,12,78,-1,-1,0.0880030859199389,0.03676457963504,0.889208715528912,0.456022176995462,1.92156706975366,0.0367645796350401,0.889208715528913,0.456022176995462,1.95336959507621
"...118","Leonids","013","LEO","20131117","152","22",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...119","α-Monocerotids","246","AMO","20131121","117","1",NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...120","Phoenicids","254","PHO","20131206","18","-53",125.249318407791,3.86254366312904,12.2642172604095,15,120,-1,-1,4.18627006631354e-13,-0.575824529122031,0.81479342821664,0.067363053644907,1.36409812286948,-0.575824529122031,0.81479342821664,0.067363053644907,1.55998782913385
"...121","Puppid-Velids","301","PUP","20131207","123","-45",99.3402754757928,4.42467605671835,10.6089672007607,14,105,-1,-1,0.569192821645668,-0.161813772736498,0.98380100766518,0.0771484301185533,1.94449930524349,-0.161813772736498,0.98380100766518,0.0771484301185533,1.93743840220111
"...122","Monocerotids","019","MON","20131209","100","8",96.5540769426429,-3.26789387088479,21.8359745344644,7,28,-1,-1,0.63175232947356,-0.113955314208342,0.991849113093181,-0.0570045894639081,0.860617394259553,-0.113955314208342,0.991849113093181,-0.0570045894639082,0.880427042956589
"...123","σ-Hydrids","016","HYD","20131212","127","2",126.107130622124,22.3962532889444,8.57758224730699,21,231,-1,-1,0.0513808553217873,-0.544846803822515,0.746976173215329,0.38100991721079,2.02811604980217,-0.544846803822515,0.746976173215329,0.38100991721079,2.03199589738594
"...124","Geminids","004","GEM","20131214","112","33",110.95423282316,34.8603126350622,2.4422195650888,2,3,-1,-1,0.38626509909386,-0.293446097525571,0.766282188424834,0.571577637377338,183.465579846668,-0.293446097525571,0.766282188424834,0.571577637377338,498.502485966995
"...125","Comae Ber.","020","COM","20131216","175","18",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...126","Dec. L. Minorids","032","DLM","20131219","161","30",NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...127","Ursids","015","URS","20131222","217","76",NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...128","﻿Quadrantids","010","QUA","20140103","230","49",202.407651679097,34.8397382409939,12.2383160355133,3,6,-1,-1,0.559037519617177,-0.758782326923237,-0.312866061280353,0.571282949201073,5.47951279682604,-0.758782326923238,-0.312866061280353,0.571282949201073,6.35989658098156
"...129","α-Centaurids","102","ACE","20140208","210","-59",155.136156728635,21.7588707965893,9.70010819343134,2,3,-1,-1,0.429498213404379,-0.842665695135825,0.390506235717463,0.370701235642713,11.6297627046532,-0.842665695135825,0.390506235717462,0.370701235642713,22.8209637652939
